2025-05-06 16:39:44,076 [INFO] Orderbook database initialized.
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for VIBUSDT
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for BTCUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for ETHUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for BNBUSDT
2025-05-06 16:39:44,888 [INFO] [VIBUSDT] websocket opened
2025-05-06 16:39:44,891 [INFO] [ETHUSDT] websocket opened
2025-05-06 16:39:44,898 [INFO] [BTCUSDT] websocket opened
2025-05-06 16:39:44,899 [INFO] [BNBUSDT] websocket opened
2025-05-06 16:39:44,928 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:45,014 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:45,925 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:45,928 [INFO] [ETHUSDT] Bid 1798.4000, Ask 1798.4100, Spread 0.0100
2025-05-06 16:39:46,015 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:46,917 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:46,928 [INFO] [ETHUSDT] Bid 1798.3400, Ask 1798.3500, Spread 0.0100
2025-05-06 16:39:47,011 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:47,929 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:47,960 [INFO] [ETHUSDT] Bid 1798.3400, Ask 1798.3500, Spread 0.0100
2025-05-06 16:39:48,014 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:48,918 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:48,924 [INFO] [ETHUSDT] Bid 1798.3400, Ask 1798.3500, Spread 0.0100
2025-05-06 16:39:49,013 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:49,918 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:49,928 [INFO] [ETHUSDT] Bid 1798.3400, Ask 1798.3500, Spread 0.0100
2025-05-06 16:39:50,011 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:51,012 [INFO] [BTCUSDT] Bid 94218.9100, Ask 94218.9200, Spread 0.0100
2025-05-06 16:39:51,014 [INFO] [ETHUSDT] Bid 1798.3400, Ask 1798.3500, Spread 0.0100
2025-05-06 16:39:51,021 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:51,918 [INFO] [BTCUSDT] Bid 94204.2300, Ask 94204.2400, Spread 0.0100
2025-05-06 16:39:51,923 [INFO] [ETHUSDT] Bid 1798.2200, Ask 1798.2300, Spread 0.0100
2025-05-06 16:39:52,016 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:52,918 [INFO] [BTCUSDT] Bid 94204.2300, Ask 94204.2400, Spread 0.0100
2025-05-06 16:39:52,920 [INFO] [ETHUSDT] Bid 1798.2200, Ask 1798.2300, Spread 0.0100
2025-05-06 16:39:53,012 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:53,918 [INFO] [BTCUSDT] Bid 94204.2300, Ask 94204.2400, Spread 0.0100
2025-05-06 16:39:53,922 [INFO] [ETHUSDT] Bid 1798.2200, Ask 1798.2300, Spread 0.0100
2025-05-06 16:39:54,011 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:54,918 [INFO] [BTCUSDT] Bid 94204.2300, Ask 94204.2400, Spread 0.0100
2025-05-06 16:39:54,922 [INFO] [ETHUSDT] Bid 1798.2200, Ask 1798.2300, Spread 0.0100
2025-05-06 16:39:55,010 [INFO] [BNBUSDT] Bid 598.3100, Ask 598.3200, Spread 0.0100
2025-05-06 16:39:55,917 [INFO] [BTCUSDT] Bid 94204.2300, Ask 94204.2400, Spread 0.0100
2025-05-06 16:39:55,923 [INFO] [ETHUSDT] Bid 1798.2200, Ask 1798.2300, Spread 0.0100
2025-05-06 16:41:54,689 [INFO] Orderbook database initialized.
2025-05-06 16:41:55,624 [INFO] [VIBUSDT] websocket opened
2025-05-06 16:41:55,632 [INFO] [BTCUSDT] websocket opened
2025-05-06 16:41:55,633 [INFO] [BNBUSDT] websocket opened
2025-05-06 16:41:55,633 [INFO] [ETHUSDT] websocket opened
2025-05-06 16:41:55,936 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:41:55,936 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
2025-05-06 16:41:56,011 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:41:56,957 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:41:56,958 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
2025-05-06 16:41:57,011 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:41:57,926 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:41:57,928 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
2025-05-06 16:41:58,020 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:41:58,920 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:41:58,925 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
2025-05-06 16:41:59,012 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:00,034 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:42:00,034 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:00,035 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
